vessel_id,timestamp,speed_knots,draft_m,heading_deg,fuel_rate_lph
vessel_rotterdam_001,2025-01-02T14:00:00Z,9.267,5.547,266,181.867
vessel_rotterdam_001,2025-01-02T15:00:00Z,9.4,5.57,273,182.8
vessel_rotterdam_001,2025-01-02T16:00:00Z,9.533,5.593,280,183.733
vessel_rotterdam_001,2025-01-02T17:00:00Z,9.667,5.617,287,184.667
vessel_rotterdam_001,2025-01-02T18:00:00Z,9.8,5.64,294,185.6
vessel_rotterdam_001,2025-01-02T19:00:00Z,9.933,5.663,301,186.533
vessel_rotterdam_001,2025-01-02T20:00:00Z,10.067,5.687,308,187.467
vessel_rotterdam_001,2025-01-02T21:00:00Z,10.2,5.71,315,188.4
vessel_rotterdam_001,2025-01-02T22:00:00Z,10.333,5.733,322,189.333
vessel_rotterdam_001,2025-01-02T23:00:00Z,10.467,5.757,329,190.267
vessel_rotterdam_001,2025-01-03T00:00:00Z,7.4,5.22,336,168.8
vessel_rotterdam_001,2025-01-03T01:00:00Z,7.533,5.243,343,169.733
vessel_rotterdam_001,2025-01-03T02:00:00Z,7.667,5.267,350,170.667
vessel_rotterdam_001,2025-01-03T03:00:00Z,7.8,5.29,357,171.6
vessel_rotterdam_001,2025-01-03T04:00:00Z,7.933,5.313,4,172.533
vessel_rotterdam_001,2025-01-03T05:00:00Z,8.067,5.337,11,173.467
vessel_rotterdam_001,2025-01-03T06:00:00Z,8.2,5.36,18,174.4
vessel_rotterdam_001,2025-01-03T07:00:00Z,8.333,5.383,25,175.333
vessel_rotterdam_001,2025-01-03T08:00:00Z,8.467,5.407,32,176.267
vessel_rotterdam_001,2025-01-03T09:00:00Z,8.6,5.43,39,177.2
vessel_rotterdam_001,2025-01-03T10:00:00Z,8.733,5.453,46,178.133
vessel_rotterdam_001,2025-01-03T11:00:00Z,8.867,5.477,53,179.067
vessel_rotterdam_001,2025-01-03T12:00:00Z,9.0,5.5,60,180.0
vessel_rotterdam_001,2025-01-03T13:00:00Z,9.133,5.523,67,180.933
vessel_rotterdam_001,2025-01-03T14:00:00Z,9.267,5.547,74,181.867
vessel_rotterdam_001,2025-01-03T15:00:00Z,9.4,5.57,81,182.8
vessel_rotterdam_001,2025-01-03T16:00:00Z,9.533,5.593,88,183.733
vessel_rotterdam_001,2025-01-03T17:00:00Z,9.667,5.617,95,184.667
vessel_rotterdam_001,2025-01-03T18:00:00Z,9.8,5.64,102,185.6
vessel_rotterdam_001,2025-01-03T19:00:00Z,9.933,5.663,109,186.533
vessel_rotterdam_001,2025-01-03T20:00:00Z,10.067,5.687,116,187.467
vessel_rotterdam_001,2025-01-03T21:00:00Z,10.2,5.71,123,188.4
vessel_rotterdam_001,2025-01-03T22:00:00Z,10.333,5.733,130,189.333
vessel_rotterdam_001,2025-01-03T23:00:00Z,10.467,5.757,137,190.267
vessel_rotterdam_001,2025-01-04T00:00:00Z,7.4,5.22,144,168.8
vessel_rotterdam_001,2025-01-04T01:00:00Z,7.533,5.243,151,169.733
vessel_rotterdam_001,2025-01-04T02:00:00Z,7.667,5.267,158,170.667
vessel_rotterdam_001,2025-01-04T03:00:00Z,7.8,5.29,165,171.6
vessel_rotterdam_001,2025-01-04T04:00:00Z,7.933,5.313,172,172.533
vessel_rotterdam_001,2025-01-04T05:00:00Z,8.067,5.337,179,173.467
vessel_rotterdam_001,2025-01-04T06:00:00Z,8.2,5.36,186,174.4
vessel_rotterdam_001,2025-01-04T07:00:00Z,8.333,5.383,193,175.333
vessel_rotterdam_001,2025-01-04T08:00:00Z,8.467,5.407,200,176.267
vessel_rotterdam_001,2025-01-04T09:00:00Z,8.6,5.43,207,177.2
vessel_rotterdam_001,2025-01-04T10:00:00Z,8.733,5.453,214,178.133
vessel_rotterdam_001,2025-01-04T11:00:00Z,8.867,5.477,221,179.067
vessel_rotterdam_001,2025-01-04T12:00:00Z,9.0,5.5,228,180.0
vessel_rotterdam_001,2025-01-04T13:00:00Z,9.133,5.523,235,180.933
vessel_rotterdam_001,2025-01-04T14:00:00Z,9.267,5.547,242,181.867
vessel_rotterdam_001,2025-01-04T15:00:00Z,9.4,5.57,249,182.8
vessel_rotterdam_001,2025-01-04T16:00:00Z,9.533,5.593,256,183.733
vessel_rotterdam_001,2025-01-04T17:00:00Z,9.667,5.617,263,184.667
vessel_rotterdam_001,2025-01-04T18:00:00Z,9.8,5.64,270,185.6
vessel_rotterdam_001,2025-01-04T19:00:00Z,9.933,5.663,277,186.533
vessel_rotterdam_001,2025-01-04T20:00:00Z,10.067,5.687,284,187.467
vessel_rotterdam_001,2025-01-04T21:00:00Z,10.2,5.71,291,188.4
vessel_rotterdam_001,2025-01-04T22:00:00Z,10.333,5.733,298,189.333
vessel_rotterdam_001,2025-01-04T23:00:00Z,10.467,5.757,305,190.267
vessel_rotterdam_001,2025-01-05T00:00:00Z,7.4,5.22,312,168.8
vessel_rotterdam_001,2025-01-05T01:00:00Z,7.533,5.243,319,169.733
vessel_rotterdam_001,2025-01-05T02:00:00Z,7.667,5.267,326,170.667
vessel_rotterdam_001,2025-01-05T03:00:00Z,7.8,5.29,333,171.6
vessel_rotterdam_001,2025-01-05T04:00:00Z,7.933,5.313,340,172.533
vessel_rotterdam_001,2025-01-05T05:00:00Z,8.067,5.337,347,173.467
vessel_rotterdam_001,2025-01-05T06:00:00Z,8.2,5.36,354,174.4
vessel_rotterdam_001,2025-01-05T07:00:00Z,8.333,5.383,1,175.333
vessel_rotterdam_001,2025-01-05T08:00:00Z,8.467,5.407,8,176.267
vessel_rotterdam_001,2025-01-05T09:00:00Z,8.6,5.43,15,177.2
vessel_rotterdam_001,2025-01-05T10:00:00Z,8.733,5.453,22,178.133
vessel_rotterdam_001,2025-01-05T11:00:00Z,8.867,5.477,29,179.067
vessel_rotterdam_001,2025-01-05T12:00:00Z,9.0,5.5,36,180.0
vessel_rotterdam_001,2025-01-05T13:00:00Z,9.133,5.523,43,180.933
vessel_rotterdam_001,2025-01-05T14:00:00Z,9.267,5.547,50,181.867
vessel_rotterdam_001,2025-01-05T15:00:00Z,9.4,5.57,57,182.8
vessel_rotterdam_001,2025-01-05T16:00:00Z,9.533,5.593,64,183.733
vessel_rotterdam_001,2025-01-05T17:00:00Z,9.667,5.617,71,184.667
vessel_rotterdam_001,2025-01-05T18:00:00Z,9.8,5.64,78,185.6
vessel_rotterdam_001,2025-01-05T19:00:00Z,9.933,5.663,85,186.533
vessel_rotterdam_001,2025-01-05T20:00:00Z,10.067,5.687,92,187.467
vessel_rotterdam_001,2025-01-05T21:00:00Z,10.2,5.71,99,188.4
vessel_rotterdam_001,2025-01-05T22:00:00Z,10.333,5.733,106,189.333
vessel_rotterdam_001,2025-01-05T23:00:00Z,10.467,5.757,113,190.267
vessel_rotterdam_001,2025-01-06T00:00:00Z,7.4,5.22,120,168.8
vessel_rotterdam_001,2025-01-06T01:00:00Z,7.533,5.243,127,169.733
vessel_rotterdam_001,2025-01-06T02:00:00Z,7.667,5.267,134,170.667
vessel_rotterdam_001,2025-01-06T03:00:00Z,7.8,5.29,141,171.6
vessel_rotterdam_001,2025-01-06T04:00:00Z,7.933,5.313,148,172.533
vessel_rotterdam_001,2025-01-06T05:00:00Z,8.067,5.337,155,173.467
vessel_rotterdam_001,2025-01-06T06:00:00Z,8.2,5.36,162,174.4
vessel_rotterdam_001,2025-01-06T07:00:00Z,8.333,5.383,169,175.333
vessel_rotterdam_001,2025-01-06T08:00:00Z,8.467,5.407,176,176.267
vessel_rotterdam_001,2025-01-06T09:00:00Z,8.6,5.43,183,177.2
vessel_rotterdam_001,2025-01-06T10:00:00Z,8.733,5.453,190,178.133
vessel_rotterdam_001,2025-01-06T11:00:00Z,8.867,5.477,197,179.067
vessel_rotterdam_001,2025-01-06T12:00:00Z,9.0,5.5,204,180.0
vessel_rotterdam_001,2025-01-06T13:00:00Z,9.133,5.523,211,180.933
vessel_rotterdam_001,2025-01-06T14:00:00Z,9.267,5.547,218,181.867
vessel_rotterdam_001,2025-01-06T15:00:00Z,9.4,5.57,225,182.8
vessel_rotterdam_001,2025-01-06T16:00:00Z,9.533,5.593,232,183.733
vessel_rotterdam_001,2025-01-06T17:00:00Z,9.667,5.617,239,184.667
vessel_rotterdam_001,2025-01-06T18:00:00Z,9.8,5.64,246,185.6
vessel_rotterdam_001,2025-01-06T19:00:00Z,9.933,5.663,253,186.533
vessel_rotterdam_001,2025-01-06T20:00:00Z,10.067,5.687,260,187.467
vessel_rotterdam_001,2025-01-06T21:00:00Z,10.2,5.71,267,188.4
vessel_rotterdam_001,2025-01-06T22:00:00Z,10.333,5.733,274,189.333
vessel_rotterdam_001,2025-01-06T23:00:00Z,10.467,5.757,281,190.267
vessel_rotterdam_001,2025-01-07T00:00:00Z,7.4,5.22,288,168.8
vessel_rotterdam_001,2025-01-07T01:00:00Z,7.533,5.243,295,169.733
vessel_rotterdam_001,2025-01-07T02:00:00Z,7.667,5.267,302,170.667
vessel_rotterdam_001,2025-01-07T03:00:00Z,7.8,5.29,309,171.6
vessel_rotterdam_001,2025-01-07T04:00:00Z,7.933,5.313,316,172.533
vessel_rotterdam_001,2025-01-07T05:00:00Z,8.067,5.337,323,173.467
vessel_rotterdam_001,2025-01-07T06:00:00Z,8.2,5.36,330,174.4
vessel_rotterdam_001,2025-01-07T07:00:00Z,8.333,5.383,337,175.333
vessel_rotterdam_001,2025-01-07T08:00:00Z,8.467,5.407,344,176.267
vessel_rotterdam_001,2025-01-07T09:00:00Z,8.6,5.43,351,177.2
vessel_rotterdam_001,2025-01-07T10:00:00Z,8.733,5.453,358,178.133
vessel_rotterdam_001,2025-01-07T11:00:00Z,8.867,5.477,5,179.067
vessel_rotterdam_001,2025-01-07T12:00:00Z,9.0,5.5,12,180.0
vessel_rotterdam_001,2025-01-07T13:00:00Z,9.133,5.523,19,180.933
vessel_rotterdam_001,2025-01-07T14:00:00Z,9.267,5.547,26,181.867
vessel_rotterdam_001,2025-01-07T15:00:00Z,9.4,5.57,33,182.8
vessel_rotterdam_001,2025-01-07T16:00:00Z,9.533,5.593,40,183.733
vessel_rotterdam_001,2025-01-07T17:00:00Z,9.667,5.617,47,184.667
vessel_rotterdam_001,2025-01-07T18:00:00Z,9.8,5.64,54,185.6
vessel_rotterdam_001,2025-01-07T19:00:00Z,9.933,5.663,61,186.533
vessel_rotterdam_001,2025-01-07T20:00:00Z,10.067,5.687,68,187.467
vessel_rotterdam_001,2025-01-07T21:00:00Z,10.2,5.71,75,188.4
vessel_rotterdam_001,2025-01-07T22:00:00Z,10.333,5.733,82,189.333
vessel_rotterdam_001,2025-01-07T23:00:00Z,10.467,5.757,89,190.267
vessel_rotterdam_001,2025-01-08T00:00:00Z,7.4,5.22,96,168.8
vessel_rotterdam_001,2025-01-08T01:00:00Z,7.533,5.243,103,169.733
vessel_rotterdam_001,2025-01-08T02:00:00Z,7.667,5.267,110,170.667
vessel_rotterdam_001,2025-01-08T03:00:00Z,7.8,5.29,117,171.6
vessel_rotterdam_001,2025-01-08T04:00:00Z,7.933,5.313,124,172.533
vessel_rotterdam_001,2025-01-08T05:00:00Z,8.067,5.337,131,173.467
vessel_rotterdam_001,2025-01-08T06:00:00Z,8.2,5.36,138,174.4
vessel_rotterdam_001,2025-01-08T07:00:00Z,8.333,5.383,145,175.333
vessel_rotterdam_001,2025-01-08T08:00:00Z,8.467,5.407,152,176.267
vessel_rotterdam_001,2025-01-08T09:00:00Z,8.6,5.43,159,177.2
vessel_rotterdam_001,2025-01-08T10:00:00Z,8.733,5.453,166,178.133
vessel_rotterdam_001,2025-01-08T11:00:00Z,8.867,5.477,173,179.067
vessel_rotterdam_001,2025-01-08T12:00:00Z,9.0,5.5,180,180.0
vessel_rotterdam_001,2025-01-08T13:00:00Z,9.133,5.523,187,180.933
vessel_rotterdam_001,2025-01-08T14:00:00Z,9.267,5.547,194,181.867
vessel_rotterdam_001,2025-01-08T15:00:00Z,9.4,5.57,201,182.8
vessel_rotterdam_001,2025-01-08T16:00:00Z,9.533,5.593,208,183.733
vessel_rotterdam_001,2025-01-08T17:00:00Z,9.667,5.617,215,184.667
vessel_rotterdam_001,2025-01-08T18:00:00Z,9.8,5.64,222,185.6
vessel_rotterdam_001,2025-01-08T19:00:00Z,9.933,5.663,229,186.533
vessel_rotterdam_001,2025-01-08T20:00:00Z,10.067,5.687,236,187.467
vessel_rotterdam_001,2025-01-08T21:00:00Z,10.2,5.71,243,188.4
vessel_rotterdam_001,2025-01-08T22:00:00Z,10.333,5.733,250,189.333
vessel_rotterdam_001,2025-01-08T23:00:00Z,10.467,5.757,257,190.267
vessel_rotterdam_001,2025-01-09T00:00:00Z,7.4,5.22,264,168.8
vessel_rotterdam_001,2025-01-09T01:00:00Z,7.533,5.243,271,169.733
vessel_rotterdam_001,2025-01-09T02:00:00Z,7.667,5.267,278,170.667
vessel_rotterdam_001,2025-01-09T03:00:00Z,7.8,5.29,285,171.6
vessel_rotterdam_001,2025-01-09T04:00:00Z,7.933,5.313,292,172.533
vessel_rotterdam_001,2025-01-09T05:00:00Z,8.067,5.337,299,173.467
vessel_rotterdam_001,2025-01-09T06:00:00Z,8.2,5.36,306,174.4
vessel_rotterdam_001,2025-01-09T07:00:00Z,8.333,5.383,313,175.333
vessel_rotterdam_001,2025-01-09T08:00:00Z,8.467,5.407,320,176.267
vessel_rotterdam_001,2025-01-09T09:00:00Z,8.6,5.43,327,177.2
vessel_rotterdam_001,2025-01-09T10:00:00Z,8.733,5.453,334,178.133
vessel_rotterdam_001,2025-01-09T11:00:00Z,8.867,5.477,341,179.067
vessel_rotterdam_001,2025-01-09T12:00:00Z,9.0,5.5,348,180.0
vessel_rotterdam_001,2025-01-09T13:00:00Z,9.133,5.523,355,180.933
vessel_rotterdam_001,2025-01-09T14:00:00Z,9.267,5.547,2,181.867
vessel_rotterdam_001,2025-01-09T15:00:00Z,9.4,5.57,9,182.8
vessel_rotterdam_001,2025-01-09T16:00:00Z,9.533,5.593,16,183.733
vessel_rotterdam_001,2025-01-09T17:00:00Z,9.667,5.617,23,184.667
vessel_rotterdam_001,2025-01-09T18:00:00Z,9.8,5.64,30,185.6
vessel_rotterdam_001,2025-01-09T19:00:00Z,9.933,5.663,37,186.533
vessel_rotterdam_001,2025-01-09T20:00:00Z,10.067,5.687,44,187.467
vessel_rotterdam_001,2025-01-09T21:00:00Z,10.2,5.71,51,188.4
vessel_rotterdam_001,2025-01-09T22:00:00Z,10.333,5.733,58,189.333
vessel_rotterdam_001,2025-01-09T23:00:00Z,10.467,5.757,65,190.267
vessel_rotterdam_001,2025-01-10T00:00:00Z,7.4,5.22,72,168.8
vessel_rotterdam_001,2025-01-10T01:00:00Z,7.533,5.243,79,169.733
vessel_rotterdam_001,2025-01-10T02:00:00Z,7.667,5.267,86,170.667
vessel_rotterdam_001,2025-01-10T03:00:00Z,7.8,5.29,93,171.6
vessel_rotterdam_001,2025-01-10T04:00:00Z,7.933,5.313,100,172.533
vessel_rotterdam_001,2025-01-10T05:00:00Z,8.067,5.337,107,173.467
vessel_rotterdam_001,2025-01-10T06:00:00Z,8.2,5.36,114,174.4
vessel_rotterdam_001,2025-01-10T07:00:00Z,8.333,5.383,121,175.333
vessel_rotterdam_001,2025-01-10T08:00:00Z,8.467,5.407,128,176.267
vessel_rotterdam_001,2025-01-10T09:00:00Z,8.6,5.43,135,177.2
vessel_rotterdam_001,2025-01-10T10:00:00Z,8.733,5.453,142,178.133
vessel_rotterdam_001,2025-01-10T11:00:00Z,8.867,5.477,149,179.067
vessel_rotterdam_001,2025-01-10T12:00:00Z,9.0,5.5,156,180.0
vessel_rotterdam_001,2025-01-10T13:00:00Z,9.133,5.523,163,180.933
vessel_rotterdam_001,2025-01-10T14:00:00Z,9.267,5.547,170,181.867
vessel_rotterdam_001,2025-01-10T15:00:00Z,9.4,5.57,177,182.8
vessel_rotterdam_001,2025-01-10T16:00:00Z,9.533,5.593,184,183.733
vessel_rotterdam_001,2025-01-10T17:00:00Z,9.667,5.617,191,184.667
vessel_rotterdam_001,2025-01-10T18:00:00Z,9.8,5.64,198,185.6
vessel_rotterdam_001,2025-01-10T19:00:00Z,9.933,5.663,205,186.533
vessel_rotterdam_001,2025-01-10T20:00:00Z,10.067,5.687,212,187.467
vessel_rotterdam_001,2025-01-10T21:00:00Z,10.2,5.71,219,188.4
vessel_rotterdam_001,2025-01-10T22:00:00Z,10.333,5.733,226,189.333
vessel_rotterdam_001,2025-01-10T23:00:00Z,10.467,5.757,233,190.267
vessel_rotterdam_001,2025-01-11T00:00:00Z,7.4,5.22,240,168.8
vessel_rotterdam_001,2025-01-11T01:00:00Z,7.533,5.243,247,169.733
vessel_rotterdam_001,2025-01-11T02:00:00Z,7.667,5.267,254,170.667
vessel_rotterdam_001,2025-01-11T03:00:00Z,7.8,5.29,261,171.6
vessel_rotterdam_001,2025-01-11T04:00:00Z,7.933,5.313,268,172.533
vessel_rotterdam_001,2025-01-11T05:00:00Z,8.067,5.337,275,173.467
vessel_rotterdam_001,2025-01-11T06:00:00Z,8.2,5.36,282,174.4
vessel_rotterdam_001,2025-01-11T07:00:00Z,8.333,5.383,289,175.333
vessel_rotterdam_001,2025-01-11T08:00:00Z,8.467,5.407,296,176.267
vessel_rotterdam_001,2025-01-11T09:00:00Z,8.6,5.43,303,177.2
vessel_rotterdam_001,2025-01-11T10:00:00Z,8.733,5.453,310,178.133
vessel_rotterdam_001,2025-01-11T11:00:00Z,8.867,5.477,317,179.067
vessel_rotterdam_001,2025-01-11T12:00:00Z,9.0,5.5,324,180.0
vessel_rotterdam_001,2025-01-11T13:00:00Z,9.133,5.523,331,180.933
vessel_rotterdam_001,2025-01-11T14:00:00Z,9.267,5.547,338,181.867
vessel_rotterdam_001,2025-01-11T15:00:00Z,9.4,5.57,345,182.8
vessel_rotterdam_001,2025-01-11T16:00:00Z,9.533,5.593,352,183.733
vessel_rotterdam_001,2025-01-11T17:00:00Z,9.667,5.617,359,184.667
vessel_rotterdam_001,2025-01-11T18:00:00Z,9.8,5.64,6,185.6
vessel_rotterdam_001,2025-01-11T19:00:00Z,9.933,5.663,13,186.533
vessel_rotterdam_001,2025-01-11T20:00:00Z,10.067,5.687,20,187.467
vessel_rotterdam_001,2025-01-11T21:00:00Z,10.2,5.71,27,188.4
vessel_rotterdam_001,2025-01-11T22:00:00Z,10.333,5.733,34,189.333
vessel_rotterdam_001,2025-01-11T23:00:00Z,10.467,5.757,41,190.267
vessel_rotterdam_001,2025-01-12T00:00:00Z,7.4,5.22,48,168.8
vessel_rotterdam_001,2025-01-12T01:00:00Z,7.533,5.243,55,169.733
vessel_rotterdam_001,2025-01-12T02:00:00Z,7.667,5.267,62,170.667
vessel_rotterdam_001,2025-01-12T03:00:00Z,7.8,5.29,69,171.6
vessel_rotterdam_001,2025-01-12T04:00:00Z,7.933,5.313,76,172.533
vessel_rotterdam_001,2025-01-12T05:00:00Z,8.067,5.337,83,173.467
vessel_rotterdam_001,2025-01-12T06:00:00Z,8.2,5.36,90,174.4
vessel_rotterdam_001,2025-01-12T07:00:00Z,8.333,5.383,97,175.333
vessel_rotterdam_001,2025-01-12T08:00:00Z,8.467,5.407,104,176.267
vessel_rotterdam_001,2025-01-12T09:00:00Z,8.6,5.43,111,177.2
vessel_rotterdam_001,2025-01-12T10:00:00Z,8.733,5.453,118,178.133
vessel_rotterdam_001,2025-01-12T11:00:00Z,8.867,5.477,125,179.067
vessel_rotterdam_001,2025-01-12T12:00:00Z,9.0,5.5,132,180.0
vessel_rotterdam_001,2025-01-12T13:00:00Z,9.133,5.523,139,180.933
vessel_rotterdam_001,2025-01-12T14:00:00Z,9.267,5.547,146,181.867
vessel_rotterdam_001,2025-01-12T15:00:00Z,9.4,5.57,153,182.8
vessel_rotterdam_001,2025-01-12T16:00:00Z,9.533,5.593,160,183.733
vessel_rotterdam_001,2025-01-12T17:00:00Z,9.667,5.617,167,184.667
vessel_rotterdam_001,2025-01-12T18:00:00Z,9.8,5.64,174,185.6
vessel_rotterdam_001,2025-01-12T19:00:00Z,9.933,5.663,181,186.533
vessel_rotterdam_001,2025-01-12T20:00:00Z,10.067,5.687,188,187.467
vessel_rotterdam_001,2025-01-12T21:00:00Z,10.2,5.71,195,188.4
vessel_rotterdam_001,2025-01-12T22:00:00Z,10.333,5.733,202,189.333
vessel_rotterdam_001,2025-01-12T23:00:00Z,10.467,5.757,209,190.267
vessel_rotterdam_001,2025-01-13T00:00:00Z,7.4,5.22,216,168.8
vessel_rotterdam_001,2025-01-13T01:00:00Z,7.533,5.243,223,169.733
vessel_rotterdam_001,2025-01-13T02:00:00Z,7.667,5.267,230,170.667
vessel_rotterdam_001,2025-01-13T03:00:00Z,7.8,5.29,237,171.6
vessel_rotterdam_001,2025-01-13T04:00:00Z,7.933,5.313,244,172.533
vessel_rotterdam_001,2025-01-13T05:00:00Z,8.067,5.337,251,173.467
vessel_rotterdam_001,2025-01-13T06:00:00Z,8.2,5.36,258,174.4
vessel_rotterdam_001,2025-01-13T07:00:00Z,8.333,5.383,265,175.333
vessel_rotterdam_001,2025-01-13T08:00:00Z,8.467,5.407,272,176.267
vessel_rotterdam_001,2025-01-13T09:00:00Z,8.6,5.43,279,177.2
vessel_rotterdam_001,2025-01-13T10:00:00Z,8.733,5.453,286,178.133
vessel_rotterdam_001,2025-01-13T11:00:00Z,8.867,5.477,293,179.067
vessel_rotterdam_001,2025-01-13T12:00:00Z,9.0,5.5,300,180.0
vessel_rotterdam_001,2025-01-13T13:00:00Z,9.133,5.523,307,180.933
vessel_rotterdam_001,2025-01-13T14:00:00Z,9.267,5.547,314,181.867
vessel_rotterdam_001,2025-01-13T15:00:00Z,9.4,5.57,321,182.8
vessel_rotterdam_001,2025-01-13T16:00:00Z,9.533,5.593,328,183.733
vessel_rotterdam_001,2025-01-13T17:00:00Z,9.667,5.617,335,184.667
vessel_rotterdam_001,2025-01-13T18:00:00Z,9.8,5.64,342,185.6
vessel_rotterdam_001,2025-01-13T19:00:00Z,9.933,5.663,349,186.533
vessel_rotterdam_001,2025-01-13T20:00:00Z,10.067,5.687,356,187.467
vessel_rotterdam_001,2025-01-13T21:00:00Z,10.2,5.71,3,188.4
vessel_rotterdam_001,2025-01-13T22:00:00Z,10.333,5.733,10,189.333
vessel_rotterdam_001,2025-01-13T23:00:00Z,10.467,5.757,17,190.267
vessel_rotterdam_001,2025-01-14T00:00:00Z,7.4,5.22,24,168.8
vessel_rotterdam_001,2025-01-14T01:00:00Z,7.533,5.243,31,169.733
vessel_rotterdam_001,2025-01-14T02:00:00Z,7.667,5.267,38,170.667
vessel_rotterdam_001,2025-01-14T03:00:00Z,7.8,5.29,45,171.6
vessel_rotterdam_001,2025-01-14T04:00:00Z,7.933,5.313,52,172.533
vessel_rotterdam_001,2025-01-14T05:00:00Z,8.067,5.337,59,173.467
vessel_rotterdam_001,2025-01-14T06:00:00Z,8.2,5.36,66,174.4
vessel_rotterdam_001,2025-01-14T07:00:00Z,8.333,5.383,73,175.333
vessel_rotterdam_001,2025-01-14T08:00:00Z,8.467,5.407,80,176.267
vessel_rotterdam_001,2025-01-14T09:00:00Z,8.6,5.43,87,177.2
vessel_rotterdam_001,2025-01-14T10:00:00Z,8.733,5.453,94,178.133
vessel_rotterdam_001,2025-01-14T11:00:00Z,8.867,5.477,101,179.067
vessel_rotterdam_001,2025-01-14T12:00:00Z,9.0,5.5,108,180.0
vessel_rotterdam_001,2025-01-14T13:00:00Z,9.133,5.523,115,180.933
vessel_rotterdam_001,2025-01-14T14:00:00Z,9.267,5.547,122,181.867
vessel_rotterdam_001,2025-01-14T15:00:00Z,9.4,5.57,129,182.8
vessel_rotterdam_001,2025-01-14T16:00:00Z,9.533,5.593,136,183.733
vessel_rotterdam_001,2025-01-14T17:00:00Z,9.667,5.617,143,184.667
vessel_rotterdam_001,2025-01-14T18:00:00Z,9.8,5.64,150,185.6
vessel_rotterdam_001,2025-01-14T19:00:00Z,9.933,5.663,157,186.533
vessel_rotterdam_001,2025-01-14T20:00:00Z,10.067,5.687,164,187.467
vessel_rotterdam_001,2025-01-14T21:00:00Z,10.2,5.71,171,188.4
vessel_rotterdam_001,2025-01-14T22:00:00Z,10.333,5.733,178,189.333
vessel_rotterdam_001,2025-01-14T23:00:00Z,10.467,5.757,185,190.267
vessel_rotterdam_001,2025-01-15T00:00:00Z,7.4,5.22,192,168.8
vessel_rotterdam_001,2025-01-15T01:00:00Z,7.533,5.243,199,169.733
vessel_rotterdam_001,2025-01-15T02:00:00Z,7.667,5.267,206,170.667
